lse
224450, 1:,1080, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
224483, 1:,1080, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
224516, 1:,1080, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
224548, 1:,1080, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
224583, 1:,1080, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
224615, 1:,1081, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
224648, 1:,1081, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
224682, 1:,1081, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
224715, 1:,1081, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
224748, 1:,1081, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
224783, 1:,1081, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
224815, 1:,1081, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
224848, 1:,1081, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
224883, 1:,1081, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
224916, 1:,1081, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
224949, 1:,1080, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
224983, 1:,1080, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
225016, 1:,1080, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
225049, 1:,1080, 2:,1096, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
225084, 1:,1080, 2:,1096, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
225117, 1:,1080, 2:,1096, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
225150, 1:,1081, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
225184, 1:,1081, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
225217, 1:,1081, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
225250, 1:,1081, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
225284, 1:,1081, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
225317, 1:,1081, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
225350, 1:,1081, 2:,1096, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
225385, 1:,1081, 2:,1096, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
225418, 1:,1081, 2:,1096, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
225450, 1:,1081, 2:,1096, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
225485, 1:,1081, 2:,1096, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
225518, 1:,1081, 2:,1096, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
225551, 1:,1081, 2:,1096, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
225585, 1:,1081, 2:,1096, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
225618, 1:,1080, 2:,1096, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
225651, 1:,1080, 2:,1096, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
225686, 1:,1080, 2:,1096, 3:,1079, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
225718, 1:,1081, 2:,1096, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
225751, 1:,1081, 2:,1096, 3:,1080, 4:,1075, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
225786, 1:,1081, 2:,1096, 3:,1080, 4:,1075, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
225819, 1:,1081, 2:,1096, 3:,1080, 4:,1075, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
225852, 1:,1080, 2:,1096, 3:,1080, 4:,1075, roll:,-0.003, pirch:,-0.003, yaw:,-0.017, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
225886, 1:,1081, 2:,1095, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, 0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
225916, 1:,1080, 2:,1096, 3:,1080, 4:,1075, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
225949, 1:,1081, 2:,1096, 3:,1080, 4:,1076, roll:,-0.003, pirch:,-0.002, yaw:,-0.016, -0.003, -0.000, 0.012Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
225983, 1:,1081, 2:,1096, 3:,1080, 4:,1075, roll:,-0.003, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, 0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
226013, 1:,1080, 2:,1095, 3:,1080, 4:,1076, roll:,-0.002, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, 0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
226047, 1:,1081, 2:,1096, 3:,1080, 4:,1076, roll:,-0.002, pirch:,-0.002, yaw:,-0.020, 0.000, 0.000, 0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
226080, 1:,1081, 2:,1096, 3:,1080, 4:,1075, roll:,-0.002, pirch:,-0.002, yaw:,-0.018, -0.003, -0.000, 0.003Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
226110, 1:,1080, 2:,1096, 3:,1080, 4:,1075, roll:,-0.002, pirch:,-0.002, yaw:,-0.019, 0.005, -0.000, 0.009Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
226143, 1:,1081, 2:,1096, 3:,1079, 4:,1075, roll:,-0.002, pirch:,-0.002, yaw:,-0.018, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
226175, 1:,1081, 2:,1096, 3:,1079, 4:,1075, roll:,-0.002, pirch:,-0.002, yaw:,-0.017, 0.000, 0.000, 0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
226206, 1:,1080, 2:,1096, 3:,1080, 4:,1075, roll:,-0.003, pirch:,-0.003, yaw:,-0.016, 0.000, 0.000, 0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
226240, 1:,1080, 2:,1096, 3:,1080, 4:,1076, roll:,-0.002, pirch:,-0.003, yaw:,-0.014, 0.000, -0.000, 0.018Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
226270, 1:,1080, 2:,1096, 3:,1080, 4:,1076, roll:,-0.001, pirch:,-0.002, yaw:,-0.018, -0.004, -0.010, 0.049Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
226303, 1:,1081, 2:,1094, 3:,1079, 4:,1077, roll:,-0.001, pirch:,-0.001, yaw:,-0.020, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
226337, 1:,1082, 2:,1095, 3:,1079, 4:,1076, roll:,-0.001, pirch:,0.000, yaw:,-0.017, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
226367, 1:,1082, 2:,1090, 3:,1079, 4:,1080, roll:,0.001, pirch:,0.005, yaw:,-0.010, 0.000, 0.000, -0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
226400, 1:,1081, 2:,1083, 3:,1081, 4:,1086, roll:,0.014, pirch:,0.016, yaw:,-0.004, 0.000, -0.000, 0.000Alt:,7.00,Integrators ON, , VERT_SPD_HOLD = false
226432, 1:,1058, 2:,1054, 3:,1105, 4:,1115, roll:,0.050, pirch:,0.035, yaw:,0.014, -0.000, -0.000, 0.000Alt:,7.21,Integrators ON, , VERT_SPD_HOLD = false
226462, 1:,1069, 2:,1074, 3:,1093, 4:,1096, roll:,0.081, pirch:,0.040, yaw:,0.026, -0.484, -0.024, -0.161Alt:,7.56,Integrators ON, , VERT_SPD_HOLD = false
226496, 1:,1029, 2:,1044, 3:,1132, 4:,1127, roll:,0.126, pirch:,0.037, yaw:,0.039, -0.000, 0.000, 0.000Alt:,7.84,Integrators ON, , VERT_SPD_HOLD = false
226527, 1:,1027, 2:,1049, 3:,1134, 4:,1122, roll:,0.178, pirch:,0.029, yaw:,0.048, -0.000, -0.000, 0.000Alt:,8.29,Integrators ON, , VERT_SPD_HOLD = false
226558, 1:,1028, 2:,1054, 3:,1133, 4:,1117, roll:,0.230, pirch:,0.016, yaw:,0.053, 0.000, 0.000, 0.000Alt:,8.95,Integrators ON, , VERT_SPD_HOLD = false
226591, 1:,1044, 2:,1071, 3:,1116, 4:,1101, roll:,0.260, pirch:,-0.011, yaw:,0.054, -0.000, 0.000, -0.000Alt:,9.68,Integrators ON, , VERT_SPD_HOLD = false
226621, 1:,1058, 2:,1086, 3:,1103, 4:,1085, roll:,0.252, pirch:,-0.049, yaw:,0.049, -0.000, 0.000, -0.000Alt:,10.12,Integrators ON, , VERT_SPD_HOLD = false
226653, 1:,1055, 2:,1092, 3:,1103, 4:,1081, roll:,0.181, pirch:,-0.105, yaw:,0.043, -0.000, 0.000, -0.000Alt:,10.58,Integrators ON, , VERT_SPD_HOLD = false
226687, 1:,1058, 2:,1094, 3:,1101, 4:,1078, roll:,0.106, pirch:,-0.139, yaw:,0.043, 0.000, -0.000, 0.000Alt:,10.91,Integrators ON, , VERT_SPD_HOLD = false
226717, 1:,1059, 2:,1096, 3:,1102, 4:,1075, roll:,0.046, pirch:,-0.155, yaw:,0.055, 0.000, -0.000, 0.000Alt:,11.37,Integrators ON, , VERT_SPD_HOLD = false
226751, 1:,1075, 2:,1092, 3:,1088, 4:,1076, roll:,0.029, pirch:,-0.146, yaw:,0.077, 0.000, -0.000, 0.000Alt:,11.72,Integrators ON, , VERT_SPD_HOLD = false
226783, 1:,1075, 2:,1086, 3:,1090, 4:,1080, roll:,0.096, pirch:,-0.106, yaw:,0.108, -0.697, -0.290, -0.196Alt:,12.00,Integrators ON, , VERT_SPD_HOLD = false
226813, 1:,1056, 2:,1050, 3:,1110, 4:,1115, roll:,0.194, pirch:,-0.079, yaw:,0.123, -1.252, -0.285, -0.141Alt:,12.11,Integrators ON, , VERT_SPD_HOLD = false
226847, 1:,1026, 2:,1010, 3:,1142, 4:,1153, roll:,0.286, pirch:,-0.068, yaw:,0.128, -0.000, 0.000, 0.000Alt:,12.01,Integrators ON, , VERT_SPD_HOLD = false
226880, 1:,1020, 2:,1036, 3:,1145, 4:,1130, roll:,0.329, pirch:,-0.078, yaw:,0.120, 0.000, 0.000, -0.000Alt:,12.15,Integrators ON, , VERT_SPD_HOLD = false
226910, 1:,1049, 2:,1071, 3:,1116, 4:,1095, roll:,0.300, pirch:,-0.107, yaw:,0.109, 0.000, -0.000, 0.000Alt:,12.56,Integrators ON, , VERT_SPD_HOLD = false
226943, 1:,1053, 2:,1080, 3:,1112, 4:,1086, roll:,0.191, pirch:,-0.144, yaw:,0.114, 0.709, 0.172, -0.062Alt:,13.05,Integrators ON, , VERT_SPD_HOLD = false
226973, 1:,1060, 2:,1093, 3:,1105, 4:,1073, roll:,0.116, pirch:,-0.155, yaw:,0.124, 0.693, 0.078, -0.120Alt:,13.54,Integrators ON, , VERT_SPD_HOLD = false
227006, 1:,1075, 2:,1102, 3:,1091, 4:,1063, roll:,0.073, pirch:,-0.155, yaw:,0.139, 0.000, 0.000, 0.000Alt:,13.89,Integrators ON, , VERT_SPD_HOLD = false
227040, 1:,1079, 2:,1091, 3:,1089, 4:,1072, roll:,0.071, pirch:,-0.144, yaw:,0.154, 0.000, -0.000, -0.000Alt:,14.08,Integrators ON, , VERT_SPD_HOLD = false
227070, 1:,1070, 2:,1061, 3:,1100, 4:,1101, roll:,0.087, pirch:,-0.126, yaw:,0.166, -0.000, -0.000, 0.000Alt:,14.12,Integrators ON, , VERT_SPD_HOLD = false
227103, 1:,1076, 2:,1072, 3:,1094, 4:,1090, roll:,0.098, pirch:,-0.107, yaw:,0.169, 0.014, -0.105, 0.030Alt:,14.21,Integrators ON, , VERT_SPD_HOLD = false
227136, 1:,1092, 2:,1080, 3:,1079, 4:,1080, roll:,0.086, pirch:,-0.090, yaw:,0.152, -0.000, 0.000, 0.000Alt:,14.17,Integrators ON, , VERT_SPD_HOLD = false
227165, 1:,1111, 2:,1079, 3:,1062, 4:,1079, roll:,0.069, pirch:,-0.063, yaw:,0.118, 0.000, -0.000, 0.000Alt:,14.38,Integrators ON, , VERT_SPD_HOLD = false
227199, 1:,1109, 2:,1074, 3:,1063, 4:,1086, roll:,0.061, pirch:,-0.030, yaw:,0.079, 0.000, -0.000, -0.000Alt:,14.35,Integrators ON, , VERT_SPD_HOLD = false
227232, 1:,1086, 2:,1051, 3:,1086, 4:,1108, roll:,0.069, pirch:,0.013, yaw:,0.050, -0.000, 0.000, 0.000Alt:,14.30,Integrators ON, , VERT_SPD_HOLD = false
227262, 1:,1088, 2:,1063, 3:,1081, 4:,1099, roll:,0.095, pirch:,0.063, yaw:,0.034, -0.000, 0.000, 0.000Alt:,14.17,Integrators ON, , VERT_SPD_HOLD = false
227294, 1:,1083, 2:,1072, 3:,1085, 4:,1092, roll:,0.140, pirch:,0.117, yaw:,0.016, -0.261, -0.266, 0.130Alt:,14.01,Integrators ON, , VERT_SPD_HOLD = false
227324, 1:,1074, 2:,1058, 3:,1093, 4:,1107, roll:,0.158, pirch:,0.136, yaw:,-0.006, -0.103, -0.145, 0.286Alt:,13.87,Integrators ON, , VERT_SPD_HOLD = false
227357, 1:,1083, 2:,1084, 3:,1082, 4:,1083, roll:,0.144, pirch:,0.136, yaw:,-0.035, 0.000, 0.000, 0.000Alt:,13.63,Integrators ON, , VERT_SPD_HOLD = false
227391, 1:,1070, 2:,1088, 3:,1091, 4:,1082, roll:,0.094, pirch:,0.108, yaw:,-0.065, -0.000, 0.000, -0.000Alt:,13.64,Integrators ON, , VERT_SPD_HOLD = false
227422, 1:,1065, 2:,1096, 3:,1092, 4:,1079, roll:,0.020, pirch:,0.058, yaw:,-0.088, 0.000, -0.000, 0.000Alt:,13.58,Integrators ON, , VERT_SPD_HOLD = false
